                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2429,                0.68411,                 1.0221,                0.92924,                0.88252,                0.93294,                0.56365,                 1.1134,                0.56804,                0.99922,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1746,                0.64075,                0.98951,                0.96612,                0.86479,                0.94023,                0.51475,                 1.1601,                0.58798,                 1.0083,               0.000948,               0.000948,               0.000948
                     37,                  1.169,                0.65678,                0.98049,                0.95299,                 0.8816,                0.93507,                0.53668,                 1.1083,                0.58204,                0.99622,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.1106,                0.60709,                0.96447,                0.92279,                0.85605,                0.91567,                0.55084,                 1.1786,                0.56147,                0.99738,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0953,                0.59844,                0.95651,                0.96923,                0.86931,                0.94023,                0.55244,                 1.0918,                0.54781,                 0.9705,             0.00090556,             0.00090556,             0.00090556
                     40,                   1.16,                0.61307,                0.95942,                 0.9745,                0.87155,                0.94543,                0.54198,                 1.1751,                0.55902,                0.99339,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.1006,                0.58942,                0.96036,                0.93978,                0.87248,                 0.9442,                0.56521,                 1.1289,                0.52828,                0.99637,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.1094,                0.60236,                0.96733,                0.93394,                0.88035,                0.92962,                0.55616,                 1.1854,                0.53317,                 1.0095,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.1711,                0.63536,                0.98039,                0.92618,                0.87062,                0.93412,                0.54844,                 1.2164,                 0.5624,                 1.0193,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.1194,                0.59781,                0.95699,                0.92506,                0.92002,                0.94576,                0.53482,                 1.1542,                0.55118,                 0.9985,             0.00083482,             0.00083482,             0.00083482
                     45,                  1.103,                0.59244,                0.95484,                0.90281,                0.91329,                0.94221,                0.53638,                 1.2311,                0.56169,                0.99977,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.0797,                 0.5761,                0.94472,                0.94663,                0.88597,                0.93459,                0.56929,                 1.1298,                0.52409,                0.99904,             0.00080653,             0.00080653,             0.00080653
                     47,                  1.116,                0.60142,                0.95216,                0.93562,                 0.9201,                 0.9468,                0.58744,                 1.1157,                0.50463,                0.99462,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.1064,                0.60509,                0.97094,                0.95131,                0.93293,                0.95721,                0.55673,                 1.1724,                0.52645,                0.99754,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.0628,                0.58043,                0.95627,                0.97359,                0.91731,                0.95293,                0.54214,                 1.1863,                0.52089,                 1.0004,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.0505,                0.54732,                0.94233,                0.95901,                0.92763,                0.94194,                 0.5511,                 1.1958,                 0.5338,                 1.0052,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.0824,                0.57144,                0.93434,                0.93355,                0.93655,                0.95219,                0.57173,                 1.1361,                0.51944,                0.99677,             0.00073579,             0.00073579,             0.00073579
